District,Date,Condition,Max Temp (C),Min Temp (C),Rain (mm)
Ampara,2025-12-14,Rain Showers ,27.8,23.7,1.7
Ampara,2025-12-15,Partly Cloudy ,30.2,24.1,0.0
Ampara,2025-12-16,Foggy ,30.8,24.2,0.0
Ampara,2025-12-17,Thunderstorm ,26.9,24.0,8.9
Ampara,2025-12-18,Partly Cloudy ,29.9,23.4,0.9
Ampara,2025-12-19,Partly Cloudy ,30.1,22.1,0.0
Ampara,2025-12-20,Partly Cloudy ,28.8,20.3,0.0
Anuradhapura,2025-12-14,Partly Cloudy ,28.3,21.5,0.2
Anuradhapura,2025-12-15,Partly Cloudy ,30.6,20.5,0.0
Anuradhapura,2025-12-16,Partly Cloudy ,30.9,22.4,0.0
Anuradhapura,2025-12-17,Thunderstorm ,28.6,23.6,4.5
Anuradhapura,2025-12-18,Partly Cloudy ,30.4,21.6,0.0
Anuradhapura,2025-12-19,Partly Cloudy ,29.9,19.7,0.0
Anuradhapura,2025-12-20,Partly Cloudy ,30.1,18.4,0.0
Badulla,2025-12-14,Rain Showers ,22.5,18.2,1.4
Badulla,2025-12-15,Foggy ,24.2,18.4,0.1
Badulla,2025-12-16,Foggy ,24.7,18.4,0.0
Badulla,2025-12-17,Rain Showers ,22.2,19.4,4.3
Badulla,2025-12-18,Foggy ,24.5,19.0,0.8
Badulla,2025-12-19,Foggy ,22.8,17.5,0.0
Badulla,2025-12-20,Foggy ,23.3,18.0,0.3
Batticaloa,2025-12-14,Rain Showers ,27.3,24.0,6.5
Batticaloa,2025-12-15,Rain Showers ,28.5,23.8,0.3
Batticaloa,2025-12-16,Rain Showers ,29.4,23.9,0.5
Batticaloa,2025-12-17,Thunderstorm ,27.8,24.8,15.8
Batticaloa,2025-12-18,Rain Showers ,28.6,24.1,2.8
Batticaloa,2025-12-19,Partly Cloudy ,28.5,22.6,0.3
Batticaloa,2025-12-20,Partly Cloudy ,28.7,20.9,0.0
Colombo,2025-12-14,Partly Cloudy ,28.9,25.5,0.0
Colombo,2025-12-15,Partly Cloudy ,28.5,25.1,0.0
Colombo,2025-12-16,Thunderstorm ,29.2,25.5,1.1
Colombo,2025-12-17,Rain Showers ,28.4,26.6,9.5
Colombo,2025-12-18,Partly Cloudy ,30.0,25.5,0.0
Colombo,2025-12-19,Partly Cloudy ,28.9,25.1,0.0
Colombo,2025-12-20,Partly Cloudy ,28.3,24.7,0.0
Galle,2025-12-14,Rain Showers ,30.0,24.7,2.1
Galle,2025-12-15,Partly Cloudy ,30.3,24.5,0.0
Galle,2025-12-16,Rain Showers ,30.5,24.3,1.0
Galle,2025-12-17,Thunderstorm ,30.0,25.1,17.1
Galle,2025-12-18,Partly Cloudy ,29.8,24.8,0.0
Galle,2025-12-19,Partly Cloudy ,29.3,25.8,0.0
Galle,2025-12-20,Partly Cloudy ,29.7,25.0,0.0
Gampaha,2025-12-14,Partly Cloudy ,31.3,23.6,0.0
Gampaha,2025-12-15,Partly Cloudy ,32.1,22.5,0.0
Gampaha,2025-12-16,Partly Cloudy ,32.9,23.0,0.0
Gampaha,2025-12-17,Rain Showers ,31.0,24.1,9.6
Gampaha,2025-12-18,Partly Cloudy ,33.3,23.0,0.0
Gampaha,2025-12-19,Partly Cloudy ,31.9,22.4,0.0
Gampaha,2025-12-20,Partly Cloudy ,31.7,21.3,0.0
Hambantota,2025-12-14,Rain Showers ,31.8,23.0,0.8
Hambantota,2025-12-15,Foggy ,33.8,22.1,0.2
Hambantota,2025-12-16,Foggy ,33.1,22.7,0.1
Hambantota,2025-12-17,Rain Showers ,29.6,23.5,2.1
Hambantota,2025-12-18,Partly Cloudy ,33.0,24.3,0.0
Hambantota,2025-12-19,Partly Cloudy ,32.9,21.5,0.0
Hambantota,2025-12-20,Partly Cloudy ,32.9,22.1,0.0
Jaffna,2025-12-14,Partly Cloudy ,26.2,25.5,0.0
Jaffna,2025-12-15,Partly Cloudy ,26.7,23.8,0.0
Jaffna,2025-12-16,Rain Showers ,26.5,25.4,6.2
Jaffna,2025-12-17,Thunderstorm ,26.1,25.8,20.0
Jaffna,2025-12-18,Rain Showers ,26.5,25.6,4.5
Jaffna,2025-12-19,Partly Cloudy ,26.5,25.6,0.0
Jaffna,2025-12-20,Partly Cloudy ,26.2,25.4,0.0
Kalutara,2025-12-14,Thunderstorm ,29.3,25.4,14.0
Kalutara,2025-12-15,Partly Cloudy ,28.9,24.9,0.0
Kalutara,2025-12-16,Partly Cloudy ,28.1,25.3,0.0
Kalutara,2025-12-17,Rain Showers ,27.7,26.7,6.1
Kalutara,2025-12-18,Partly Cloudy ,28.6,25.9,0.2
Kalutara,2025-12-19,Partly Cloudy ,28.7,24.9,0.0
Kalutara,2025-12-20,Partly Cloudy ,28.1,24.8,0.0
Kandy,2025-12-14,Partly Cloudy ,29.1,20.2,0.0
Kandy,2025-12-15,Partly Cloudy ,30.4,21.3,0.0
Kandy,2025-12-16,Foggy ,31.2,19.9,0.0
Kandy,2025-12-17,Foggy ,28.1,21.1,0.0
Kandy,2025-12-18,Partly Cloudy ,31.1,22.0,0.0
Kandy,2025-12-19,Partly Cloudy ,29.6,20.3,0.0
Kandy,2025-12-20,Partly Cloudy ,29.7,19.6,0.0
Kegalle,2025-12-14,Partly Cloudy ,30.4,23.0,0.0
Kegalle,2025-12-15,Partly Cloudy ,31.5,22.6,0.0
Kegalle,2025-12-16,Partly Cloudy ,32.6,23.2,0.2
Kegalle,2025-12-17,Thunderstorm ,29.5,23.6,2.4
Kegalle,2025-12-18,Partly Cloudy ,32.5,22.7,0.0
Kegalle,2025-12-19,Partly Cloudy ,31.4,22.3,0.0
Kegalle,2025-12-20,Partly Cloudy ,30.6,21.7,0.0
Kilinochchi,2025-12-14,Partly Cloudy ,27.9,21.9,0.0
Kilinochchi,2025-12-15,Partly Cloudy ,28.8,21.6,0.0
Kilinochchi,2025-12-16,Partly Cloudy ,28.2,24.0,1.0
Kilinochchi,2025-12-17,Rain Showers ,28.4,24.1,6.2
Kilinochchi,2025-12-18,Partly Cloudy ,28.8,22.7,0.2
Kilinochchi,2025-12-19,Partly Cloudy ,29.4,21.1,0.0
Kilinochchi,2025-12-20,Partly Cloudy ,29.3,21.2,0.0
Kurunegala,2025-12-14,Partly Cloudy ,29.4,22.9,0.0
Kurunegala,2025-12-15,Partly Cloudy ,31.3,22.1,0.0
Kurunegala,2025-12-16,Partly Cloudy ,32.5,22.8,0.0
Kurunegala,2025-12-17,Rain Showers ,29.6,22.7,0.6
Kurunegala,2025-12-18,Partly Cloudy ,31.2,22.3,0.0
Kurunegala,2025-12-19,Partly Cloudy ,30.8,21.3,0.0
Kurunegala,2025-12-20,Partly Cloudy ,30.5,20.6,0.0
Mannar,2025-12-14,Partly Cloudy ,27.2,24.8,0.0
Mannar,2025-12-15,Partly Cloudy ,27.5,24.8,0.1
Mannar,2025-12-16,Rain Showers ,28.7,25.3,1.4
Mannar,2025-12-17,Thunderstorm ,27.4,25.1,11.4
Mannar,2025-12-18,Partly Cloudy ,28.0,24.9,0.9
Mannar,2025-12-19,Partly Cloudy ,28.1,24.2,0.0
Mannar,2025-12-20,Partly Cloudy ,27.8,23.4,0.0
Matale,2025-12-14,Partly Cloudy ,30.7,24.2,0.0
Matale,2025-12-15,Partly Cloudy ,32.7,24.5,0.0
Matale,2025-12-16,Partly Cloudy ,34.4,24.7,0.0
Matale,2025-12-17,Partly Cloudy ,31.8,24.9,0.0
Matale,2025-12-18,Partly Cloudy ,33.0,24.1,0.0
Matale,2025-12-19,Partly Cloudy ,32.2,23.5,0.0
Matale,2025-12-20,Partly Cloudy ,32.3,22.2,0.0
Matara,2025-12-14,Rain Showers ,28.5,25.0,1.7
Matara,2025-12-15,Partly Cloudy ,28.6,25.2,0.4
Matara,2025-12-16,Foggy ,29.0,25.2,0.2
Matara,2025-12-17,Thunderstorm ,28.9,25.3,11.4
Matara,2025-12-18,Partly Cloudy ,32.1,25.5,0.0
Matara,2025-12-19,Partly Cloudy ,30.0,25.1,0.3
Matara,2025-12-20,Partly Cloudy ,29.0,25.8,0.0
Monaragala,2025-12-14,Partly Cloudy ,29.3,23.2,0.0
Monaragala,2025-12-15,Partly Cloudy ,31.3,22.9,0.0
Monaragala,2025-12-16,Partly Cloudy ,31.4,21.9,0.0
Monaragala,2025-12-17,Partly Cloudy ,27.3,23.6,0.6
Monaragala,2025-12-18,Partly Cloudy ,30.5,24.5,0.0
Monaragala,2025-12-19,Partly Cloudy ,30.2,23.8,0.0
Monaragala,2025-12-20,Partly Cloudy ,30.4,22.2,0.0
Mullaitivu,2025-12-14,Partly Cloudy ,28.4,22.6,0.5
Mullaitivu,2025-12-15,Rain Showers ,28.8,22.5,0.4
Mullaitivu,2025-12-16,Rain Showers ,27.9,24.1,3.7
Mullaitivu,2025-12-17,Thunderstorm ,28.1,24.2,9.8
Mullaitivu,2025-12-18,Rain Showers ,28.7,23.0,1.8
Mullaitivu,2025-12-19,Partly Cloudy ,29.3,21.0,0.0
Mullaitivu,2025-12-20,Partly Cloudy ,29.2,20.9,0.0
Nuwara Eliya,2025-12-14,Partly Cloudy ,23.8,15.9,0.2
Nuwara Eliya,2025-12-15,Partly Cloudy ,24.5,16.7,0.0
Nuwara Eliya,2025-12-16,Partly Cloudy ,25.0,15.0,0.2
Nuwara Eliya,2025-12-17,Rain Showers ,23.3,16.0,2.7
Nuwara Eliya,2025-12-18,Partly Cloudy ,26.0,17.1,0.0
Nuwara Eliya,2025-12-19,Rain Showers ,23.8,16.0,0.6
Nuwara Eliya,2025-12-20,Foggy ,23.4,14.6,0.3
Polonnaruwa,2025-12-14,Rain Showers ,25.9,22.8,3.2
Polonnaruwa,2025-12-15,Partly Cloudy ,29.3,22.2,0.1
Polonnaruwa,2025-12-16,Partly Cloudy ,29.5,22.9,0.3
Polonnaruwa,2025-12-17,Thunderstorm ,26.1,23.4,8.2
Polonnaruwa,2025-12-18,Rain Showers ,28.2,22.7,1.1
Polonnaruwa,2025-12-19,Partly Cloudy ,27.8,21.0,0.0
Polonnaruwa,2025-12-20,Partly Cloudy ,28.0,19.6,0.0
Puttalam,2025-12-14,Partly Cloudy ,27.8,24.2,0.0
Puttalam,2025-12-15,Partly Cloudy ,28.1,23.9,0.0
Puttalam,2025-12-16,Rain Showers ,29.4,24.6,0.7
Puttalam,2025-12-17,Thunderstorm ,28.7,25.2,13.2
Puttalam,2025-12-18,Partly Cloudy ,29.9,24.5,0.6
Puttalam,2025-12-19,Partly Cloudy ,29.5,23.2,0.0
Puttalam,2025-12-20,Partly Cloudy ,28.2,22.8,0.0
Ratnapura,2025-12-14,Thunderstorm ,31.9,24.6,7.8
Ratnapura,2025-12-15,Foggy ,33.4,22.8,0.0
Ratnapura,2025-12-16,Rain Showers ,32.6,22.8,2.1
Ratnapura,2025-12-17,Thunderstorm ,30.6,24.4,8.1
Ratnapura,2025-12-18,Foggy ,32.7,23.7,0.0
Ratnapura,2025-12-19,Partly Cloudy ,32.8,24.0,0.3
Ratnapura,2025-12-20,Foggy ,32.3,23.3,0.0
Trincomalee,2025-12-14,Rain Showers ,26.9,23.1,3.4
Trincomalee,2025-12-15,Rain Showers ,28.6,23.0,0.3
Trincomalee,2025-12-16,Rain Showers ,28.0,23.3,3.4
Trincomalee,2025-12-17,Thunderstorm ,27.6,23.9,12.0
Trincomalee,2025-12-18,Partly Cloudy ,28.3,22.4,0.9
Trincomalee,2025-12-19,Partly Cloudy ,28.1,20.7,0.0
Trincomalee,2025-12-20,Partly Cloudy ,28.8,20.6,0.0
Vavuniya,2025-12-14,Partly Cloudy ,28.3,20.9,0.1
Vavuniya,2025-12-15,Partly Cloudy ,29.5,20.4,0.0
Vavuniya,2025-12-16,Partly Cloudy ,29.4,22.6,0.0
Vavuniya,2025-12-17,Rain Showers ,28.0,23.5,3.9
Vavuniya,2025-12-18,Partly Cloudy ,29.3,21.6,0.0
Vavuniya,2025-12-19,Partly Cloudy ,29.3,19.8,0.0
Vavuniya,2025-12-20,Partly Cloudy ,29.2,19.1,0.0
